"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2160","should login successfully with valid credentials","webkit","Wed Apr 02 23:41:20 CST 2025","passed","Wed Apr 02 23:41:22 CST 2025","Login Tests","","",""
"","2839","should login successfully with valid credentials","firefox","Wed Apr 02 23:41:20 CST 2025","passed","Wed Apr 02 23:41:23 CST 2025","Login Tests","","",""
"","1444","should show error with invalid credentials","chromium","Wed Apr 02 23:41:22 CST 2025","passed","Wed Apr 02 23:41:23 CST 2025","Login Tests","","",""
"","1088","get started link","chromium","Wed Apr 02 23:41:21 CST 2025","passed","Wed Apr 02 23:41:22 CST 2025","","","",""
"","1579","should show error with invalid credentials","firefox","Wed Apr 02 23:41:23 CST 2025","passed","Wed Apr 02 23:41:25 CST 2025","Login Tests","","",""
"","1244","has title","firefox","Wed Apr 02 23:41:20 CST 2025","passed","Wed Apr 02 23:41:21 CST 2025","","","",""
"","758","has title","chromium","Wed Apr 02 23:41:20 CST 2025","passed","Wed Apr 02 23:41:21 CST 2025","","","",""
"","1956","should login successfully with valid credentials","chromium","Wed Apr 02 23:41:20 CST 2025","passed","Wed Apr 02 23:41:22 CST 2025","Login Tests","","",""
"","1013","has title","webkit","Wed Apr 02 23:41:20 CST 2025","passed","Wed Apr 02 23:41:21 CST 2025","","","",""
"","927","get started link","webkit","Wed Apr 02 23:41:21 CST 2025","passed","Wed Apr 02 23:41:22 CST 2025","","","",""
"","958","get started link","firefox","Wed Apr 02 23:41:22 CST 2025","passed","Wed Apr 02 23:41:23 CST 2025","","","",""
"","1465","should show error with invalid credentials","webkit","Wed Apr 02 23:41:22 CST 2025","passed","Wed Apr 02 23:41:24 CST 2025","Login Tests","","",""
